systime,devtime,packno,status,controltype,error,limb,mechanism,angle,hocdisp,torque,control,target,desired,controlbound,controldir,controlgain,controlhold,button,trialno,assessmentstate
2025-09-08 14:21:37.191182,14440.251,43418,1,0,0,1,4,-0.0703125,0.007363107781851078,0.0,0.0,999.0,999.0,0.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.191182,14440.253,43419,1,0,0,1,4,-0.0703125,0.007363107781851078,0.0,0.0,999.0,999.0,0.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.191182,14440.255000000001,43420,1,0,0,1,4,-0.0703125,0.007363107781851078,0.0,0.0,999.0,999.0,0.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.191182,14440.257,43421,1,0,0,1,4,-0.0703125,0.007363107781851078,0.0,0.0,999.0,999.0,0.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.191182,14440.259,43422,1,0,0,1,4,-0.0703125,0.007363107781851078,0.0,0.0,999.0,999.0,0.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.191182,14440.261,43423,1,0,0,1,4,-0.0703125,0.007363107781851078,0.0,0.0,999.0,999.0,0.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.191182,14440.263,43424,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,0.0,999.0,999.0,0.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.191182,14440.265,43425,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,0.0,999.0,-0.0703125,0.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.191182,14440.267,43426,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,0.0,999.0,-0.0703125,0.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.191182,14440.269,43427,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,0.0,999.0,-0.0703125,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.191182,14440.271,43428,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,40.0,999.0,-0.0703125,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.191182,14440.273000000001,43429,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,80.0,999.0,-0.0703125,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.191182,14440.275,43430,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,120.0,999.0,-0.0703125,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.191182,14440.277,43431,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,160.0,999.0,-0.0703125,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.191182,14440.279,43432,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,200.0,999.0,-0.0703125,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.191182,14440.281,43433,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,240.0,999.0,-0.0703125,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.207270,14440.283,43434,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,280.0,999.0,-0.0703125,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.207270,14440.285,43435,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,320.0,999.0,-0.0703125,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.207270,14440.287,43436,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,360.0,999.0,-0.0703125,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.207270,14440.289,43437,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,400.0,999.0,-0.0703125,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.207270,14440.291000000001,43438,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,410.0,999.0,-0.0703125,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.207270,14440.293,43439,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,410.0,999.0,-0.0703125,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.207270,14440.295,43440,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,410.0,-25.873241424560547,-0.0703125,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.207270,14440.297,43441,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,370.0,-25.873241424560547,-0.09458942711353302,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.207270,14440.299,43442,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,330.0,-25.873241424560547,-0.11886635422706604,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.207270,14440.301,43443,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,290.0,-25.873241424560547,-0.14314328134059906,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.207270,14440.303,43444,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,250.0,-25.873241424560547,-0.16742020845413208,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.207270,14440.305,43445,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,210.0,-25.873241424560547,-0.1916971355676651,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.223371,14440.307,43446,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,170.0,-25.873241424560547,-0.21597406268119812,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.223371,14440.309000000001,43447,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,130.0,-25.873241424560547,-0.24025098979473114,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.223371,14440.311,43448,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,90.0,-25.873241424560547,-0.26452791690826416,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.223371,14440.313,43449,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,50.0,-25.873241424560547,-0.288804829120636,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.223371,14440.315,43450,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,10.0,-25.873241424560547,-0.3252202272415161,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.223371,14440.317000000001,43451,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,-30.0,-25.873241424560547,-0.34949713945388794,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.223371,14440.319,43452,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,-70.0,-25.873241424560547,-0.37377408146858215,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.223371,14440.321,43453,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,-110.0,-25.873241424560547,-0.398050993680954,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.223371,14440.323,43454,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,-150.0,-25.873241424560547,-0.4223279356956482,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.239459,14440.325,43455,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,-190.0,-25.873241424560547,-0.44660484790802,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.239459,14440.327000000001,43456,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,-230.0,-25.873241424560547,-0.47088178992271423,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.255403,14440.329,43457,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,-270.0,-25.873241424560547,-0.49515870213508606,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.255403,14440.331,43458,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,-310.0,-25.873241424560547,-0.5194356441497803,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.255403,14440.333,43459,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,-350.0,-25.873241424560547,-0.5437125563621521,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.255403,14440.335000000001,43460,11,5,0,1,4,-0.0703125,0.007363107781851078,0.0,-390.0,-25.873241424560547,-0.5679894685745239,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.271165,14440.337,43461,11,5,0,1,4,-0.0703125,0.007363107781851078,-5.67279052734375e-08,-410.00018310546875,-25.873241424560547,-0.09511160850524902,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.271165,14440.339,43462,11,5,0,1,4,-0.0703125,0.007363107781851078,-3.8764068603515626e-07,-410.0012512207031,-25.873241424560547,-0.11991071701049805,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.271165,14440.341,43463,11,5,0,1,4,-0.0703125,0.007363107781851078,-1.3047418212890624e-06,-410.00421142578125,-25.873241424560547,-0.14470982551574707,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.271165,14440.343,43464,11,5,0,1,4,-0.0703125,0.007363107781851078,-3.10112548828125e-06,-410.010009765625,-25.873241424560547,-0.1695089340209961,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.271165,14440.345000000001,43465,11,5,0,1,4,-0.0703125,0.007363107781851078,-6.041521911621094e-06,-410.0195007324219,-25.873241424560547,-0.19430802762508392,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.271165,14440.347,43466,11,5,0,1,4,-0.0703125,0.007363107781851078,-1.0428479919433593e-05,-410.0336608886719,-25.873241424560547,-0.21910713613033295,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.271165,14440.349,43467,11,5,0,1,4,-0.0703125,0.007363107781851078,-1.653618438720703e-05,-410.0533752441406,-25.873241424560547,-0.24390624463558197,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.271165,14440.351,43468,11,5,0,1,4,-0.0703125,0.007363107781851078,-2.46577294921875e-05,-410.07958984375,-25.873241424560547,-0.2687053680419922,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.271165,14440.353000000001,43469,11,5,0,1,4,-0.0703125,0.007363107781851078,-3.505784545898438e-05,-410.1131591796875,-25.873241424560547,-0.2935044467449188,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.271165,14440.355,43470,11,5,0,1,4,-0.0703125,0.007363107781851078,-4.803908111572266e-05,-410.1550598144531,-25.873241424560547,-0.31830355525016785,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
2025-09-08 14:21:37.271165,14440.357,43471,11,5,0,1,4,-0.0703125,0.007363107781851078,-7.297099548339843e-05,-410.23553466796875,-25.873241424560547,-0.3555022180080414,1.0,0,1.988235294117647,0,1,0,DEMO_WAIT
